date,AAPL,AMD,AMZN,CMCSA,COST,CSCO,CVX,EMLP,FSTA,GDX,GDXJ,GLD,GOOGL,GS,HYG,IBB,INTC,IYR,JNK,JPM,KXI,LQD,META,MSFT,NVDA,ORCL,PG,QQQ,SIVR,SLV,SPY,T,TMF,TTWO,UPRO,USO,UWT,VDC,VDE,VHT,VNQ,VOO,VTI,VZ,WFC,WMT,XOM
2012-01-03,14.6868,5.4800,8.9515,11.4808,84.6000,18.6300,110.3700,,,53.8000,104.3200,155.9200,16.6519,95.3600,89.7200,35.1067,24.5400,57.1600,115.9800,34.9800,33.6250,113.6700,,26.7700,0.3510,25.8600,66.8300,56.9000,29.4200,28.8300,127.5000,22.9456,170.9250,14.0000,2.6275,317.5200,,81.4900,103.5400,61.9300,58.4900,116.6000,65.2100,39.7300,28.4300,20.1100,86.0000
2012-01-04,14.7657,5.4600,8.8755,11.5886,84.0700,18.9900,110.1800,,,53.7400,104.3200,156.7100,16.7237,94.7400,89.5700,34.9567,25.1100,56.5200,115.9200,34.9500,33.3850,113.7600,,27.4000,0.3550,26.0100,66.8000,57.1400,28.9900,28.3900,127.7000,22.9834,165.1500,14.0000,2.6317,318.1600,,81.2700,103.8500,61.5900,57.4900,116.8000,65.2400,39.2100,28.5600,19.9033,86.0200
2012-01-05,14.9296,5.4600,8.8805,11.6917,83.2600,18.9200,109.1000,,,53.9000,103.6400,157.7800,16.4917,94.5800,89.1800,35.4500,25.4000,56.9300,115.5000,35.6800,33.2000,113.2700,,27.6800,0.3677,26.5900,66.5200,57.6100,29.0800,28.5100,128.0400,22.9607,164.0500,14.6600,2.6583,313.3600,,81.1500,103.4100,61.8500,58.0300,117.1800,65.5300,38.9400,29.0200,19.8067,85.7600
2012-01-06,15.0857,5.4300,9.1305,11.5698,81.1300,18.8500,108.3100,,,53.3500,102.4800,157.2000,16.2668,93.4200,88.9000,35.7367,25.2500,56.8300,115.4100,35.3600,32.9150,113.7100,,28.1100,0.3635,26.9300,66.3600,57.8100,28.5100,27.9100,127.7100,22.4169,167.7000,14.7600,2.6388,313.7600,,80.6600,102.7800,61.9900,57.8400,116.9400,65.3800,38.3300,28.9400,19.6667,85.1200
2012-01-09,15.0618,5.5900,8.9280,11.8135,79.0100,18.9700,109.4900,,,53.6500,103.8000,156.5000,15.5771,94.6900,89.0200,36.2333,25.4700,56.6700,115.4100,35.3000,33.0050,113.5400,,27.7400,0.3635,27.0300,66.6400,57.6200,28.7100,28.1300,128.0200,22.4018,166.8750,14.9100,2.6517,312.6400,,80.7700,103.1700,62.1300,57.6400,117.1200,65.5300,38.3700,29.3000,19.7267,85.5000
2012-01-10,15.1157,5.7100,8.9670,11.9025,79.1500,18.8300,109.0600,,,54.4700,106.1600,158.6400,15.5941,98.3300,89.3300,36.9500,25.5900,57.3000,115.9800,36.0500,33.2350,113.8600,,27.8400,0.3620,26.9700,66.3300,58.0400,29.6600,29.0500,129.1300,22.4773,166.2000,14.4900,2.7208,314.7200,,81.1500,104.0600,62.6700,58.2800,118.1200,66.1800,38.5700,29.4100,19.6800,85.7200
2012-01-11,15.0911,5.8100,8.9450,11.9119,79.9900,19.0700,107.7700,,,54.3100,106.4000,159.6700,15.6647,99.7600,89.2400,37.1767,25.8000,57.8100,115.8000,36.6600,32.9200,113.8400,,27.7200,0.3548,26.8900,65.6800,58.1600,29.7400,29.1400,129.2000,22.6511,172.2750,14.5000,2.7283,311.3600,,80.6700,102.7400,62.8200,58.6900,118.2400,66.3000,38.9000,29.6200,19.8000,85.0800
2012-01-12,15.0496,5.8200,8.7965,11.9494,79.9500,19.1500,104.9700,,,54.7200,107.0800,160.3800,15.7568,101.2100,89.1200,37.4367,25.7500,57.4300,115.8000,36.8500,32.8300,114.1000,,28.0000,0.3525,27.1700,65.8100,58.3900,29.9200,29.3100,129.5100,22.7492,171.7750,14.5800,2.7458,304.4800,,80.7100,101.9000,62.9500,58.2600,118.5000,66.4600,38.9200,29.6100,19.8333,84.7400
2012-01-13,14.9932,5.6600,8.9210,11.8932,80.6100,19.0600,106.0900,,,54.0500,105.4800,159.2600,15.6404,98.9600,89.0200,37.4500,25.1400,57.6900,115.8000,35.9200,32.5100,114.5100,,28.2500,0.3433,27.3400,65.8100,58.1800,29.4200,28.8200,128.8400,22.7115,176.8750,14.5000,2.7167,305.2800,,80.5900,101.2200,62.7000,58.3900,118.0000,66.1500,38.9200,29.6100,19.8467,84.8800
2012-01-17,15.1679,5.7300,9.0830,11.9681,81.4200,19.3100,106.7200,,,53.1800,105.4400,160.5000,15.7302,97.6800,89.2000,37.6833,25.0400,57.9900,115.7100,34.9100,32.6550,114.8600,,28.2600,0.3380,27.6600,66.2600,58.7100,29.7900,29.1900,129.3400,22.8474,179.4250,14.8200,2.7325,310.3200,,80.9600,101.9200,63.0600,58.8700,118.3200,66.3000,39.0200,29.8300,19.9500,85.6900
