,Half Life
Pair 1,6
Pair 2,2
Pair 3,5
Pair 4,6
Pair 5,10
Pair 6,6
Pair 7,7
Pair 8,7
Pair 9,7
Pair 10,7
Pair 11,7
Pair 12,7
Pair 13,7
Pair 14,6
Pair 15,7
Pair 16,7
Pair 17,7
Pair 18,7
Pair 19,7
Pair 20,19
Pair 21,19
Pair 22,8
Pair 23,6
Pair 24,7
Pair 25,5
Pair 26,8
Pair 27,7
Pair 28,8
Pair 29,6
Pair 30,8
Pair 31,8
Pair 32,9
Pair 33,8
Pair 34,8
Pair 35,8
Pair 36,7
Pair 37,7
Pair 38,6
Pair 39,7
Pair 40,7
Pair 41,7
Pair 42,8
Pair 43,8
Pair 44,7
Pair 45,7
Pair 46,8
Pair 47,6
Pair 48,6
Pair 49,5
Pair 50,8
Pair 51,7
Pair 52,7
Pair 53,6
Pair 54,5
Pair 55,6
Pair 56,5
Pair 57,5
Pair 58,6
Pair 59,6
Pair 60,6
